variable,edu_yrs,sex,age_start,age_end
GW5001,4.5,1,18,24
GW5002,10.5,1,18,24
GW5003,12,1,18,24
GW5004,13,1,18,24
GW5005,14,1,18,24
GW5006,16,1,18,24
GW5007,18,1,18,24
GW5008,4.5,1,25,34
GW5009,10.5,1,25,34
GW5010,12,1,25,34
GW5011,13,1,25,34
GW5012,14,1,25,34
GW5013,16,1,25,34
GW5014,18,1,25,34
GW5015,4.5,1,35,44
GW5016,10.5,1,35,44
GW5017,12,1,35,44
GW5018,13,1,35,44
GW5019,14,1,35,44
GW5020,16,1,35,44
GW5021,18,1,35,44
GW5022,4.5,1,45,64
GW5023,10.5,1,45,64
GW5024,12,1,45,64
GW5025,13,1,45,64
GW5026,14,1,45,64
GW5027,16,1,45,64
GW5028,18,1,45,64
GW5029,4.5,1,65,99
GW5030,10.5,1,65,99
GW5031,12,1,65,99
GW5032,13,1,65,99
GW5033,14,1,65,99
GW5034,16,1,65,99
GW5035,18,1,65,99
GW5036,4.5,0,18,24
GW5037,10.5,0,18,24
GW5038,12,0,18,24
GW5039,13,0,18,24
GW5040,14,0,18,24
GW5041,16,0,18,24
GW5042,18,0,18,24
GW5043,4.5,0,25,34
GW5044,10.5,0,25,34
GW5045,12,0,25,34
GW5046,13,0,25,34
GW5047,14,0,25,34
GW5048,16,0,25,34
GW5049,18,0,25,34
GW5050,4.5,0,35,44
GW5051,10.5,0,35,44
GW5052,12,0,35,44
GW5053,13,0,35,44
GW5054,14,0,35,44
GW5055,16,0,35,44
GW5056,18,0,35,44
GW5057,4.5,0,45,64
GW5058,10.5,0,45,64
GW5059,12,0,45,64
GW5060,13,0,45,64
GW5061,14,0,45,64
GW5062,16,0,45,64
GW5063,18,0,45,64
GW5064,4.5,0,65,99
GW5065,10.5,0,65,99
GW5066,12,0,65,99
GW5067,13,0,65,99
GW5068,14,0,65,99
GW5069,16,0,65,99
GW5070,18,0,65,99
